날짜,종가,시가,고가,저가,거래량,변동 %
2023.1.5,"14,975","15,180","15,195","14,885",6.09K,-0.66%
2023.1.4,"15,075","14,575","15,075","14,505",0.67K,3.15%
2023.1.3,"14,615","14,640","14,680","14,265",2.85K,0.72%
2023.1.2,"14,510","14,590","14,685","14,475",6.59K,0.55%
2022.12.29,"14,430","14,670","14,670","14,430",0.69K,-1.94%
2022.12.28,"14,715","15,020","15,020","14,670",0.41K,-2.00%
2022.12.27,"15,015","14,955","15,050","14,925",0.59K,0.40%
2022.12.26,"14,955","14,985","14,995","14,855",2.99K,0.50%
2022.12.23,"14,880","15,115","15,115","14,875",9.29K,-2.39%
2022.12.22,"15,245","15,220","15,250","15,085",5.49K,1.16%
2022.12.21,"15,070","15,275","15,275","15,045",0.73K,-0.92%
2022.12.20,"15,210","15,350","15,350","15,110",12.74K,-1.43%
2022.12.19,"15,430","15,445","15,550","15,370",2.99K,-0.32%
2022.12.16,"15,480","15,320","15,480","15,320",40.30K,-0.90%
2022.12.15,"15,620","15,725","15,750","15,620",0.84K,-1.45%
2022.12.14,"15,850","15,655","15,850","15,655",1.03K,1.99%
2022.12.13,"15,540","15,655","15,725","15,465",1.45K,-0.19%
2022.12.12,"15,570","15,495","15,585","15,470",0.67K,-0.54%
2022.12.9,"15,655","15,775","15,775","15,590",2.33K,-0.19%
2022.12.8,"15,685","15,750","15,840","15,635",0.93K,-0.70%
2022.12.7,"15,795","15,795","15,850","15,725",1.02K,-0.41%
2022.12.6,"15,860","15,840","15,970","15,780",2.07K,-1.18%
2022.12.5,"16,050","16,225","16,230","16,000",26.84K,-0.80%
2022.12.2,"16,180","16,455","16,455","16,140",35.22K,-1.76%
2022.12.1,"16,470","16,730","16,760","16,470",59.51K,-0.06%
2022.11.30,"16,480","16,165","16,480","16,035",4.56K,1.70%
2022.11.29,"16,205","16,080","16,205","16,030",1.40K,0.59%
2022.11.28,"16,110","16,280","16,280","16,085",3.67K,-1.41%
2022.11.25,"16,340","16,425","16,425","16,320",0.86K,-0.34%
2022.11.24,"16,395","16,345","16,395","16,245",0.41K,1.61%
2022.11.23,"16,135","16,190","16,230","16,065",8.15K,1.16%
2022.11.22,"15,950","16,190","16,255","15,950",2.13K,-1.79%
2022.11.21,"16,240","16,490","16,490","16,200",10.15K,-1.69%
2022.11.18,"16,520","16,580","16,770","16,490",5.13K,0.03%
2022.11.17,"16,515","16,520","16,660","16,465",17.48K,-2.45%
2022.11.16,"16,930","16,870","16,930","16,675",6.93K,0.36%
2022.11.15,"16,870","16,905","16,905","16,710",7.32K,-0.12%
2022.11.14,"16,890","17,105","17,115","16,850",13.80K,-0.85%
2022.11.11,"17,035","16,975","17,055","16,835",28.49K,4.73%
2022.11.10,"16,265","16,310","16,405","16,250",9.99K,-1.27%
2022.11.9,"16,475","16,315","16,475","16,240",20.02K,1.14%
2022.11.8,"16,290","16,090","16,290","16,085",6.69K,1.40%
2022.11.7,"16,065","15,980","16,065","15,955",13.95K,1.87%
2022.11.4,"15,770","15,690","15,845","15,530",0.78K,-0.03%
2022.11.3,"15,775","15,500","15,870","15,500",9.08K,-0.25%
